Virus_label	adeno-associated dependoparvovirus a	alphacoronavirus 1	alphapapillomavirus 10	alphapapillomavirus 7	alphapapillomavirus 9	alphapolyomavirus muris	alphapolyomavirus nonihominis	alphapolyomavirus quintihominis	alphapolyomavirus terdecihominis	andes orthohantavirus	argentinian mammarenavirus	aura virus	avian coronavirus	avian leukosis virus	avian metapneumovirus	avian orthoavulavirus 1	bat calicivirus	bat mastadenovirus a	Betacoronavirus 1 (bovine coronavirus)	Betacoronavirus 1 (human coronavirus oc43)	Betacoronavirus 1 (porcine hemagglutinating encephalomyelitis virus)	Betapolyomavirus hominis	Betapolyomavirus macacae	Betapolyomavirus secuhominis	bluetongue virus	borna disease virus	bovine alphaherpesvirus 1	bovine alphaherpesvirus 5	bovine immunodeficiency virus	bovine leukemia virus	bovine mastadenovirus b	bovine nebovirus	bovine respirovirus 3	bovine torovirus	brazilian mammarenavirus	bundibugyo ebolavirus	canid alphaherpesvirus 1	canine mastadenovirus a	canine morbillivirus	capuchin monkey hepatitis b virus	cardiovirus a	cardiovirus b	carnivore amdoparvovirus 1	carnivore protoparvovirus 1	caviid betaherpesvirus 2	cedar henipavirus	cercopithecine alphaherpesvirus 2	cetacean morbillivirus	chapare mammarenavirus	chikungunya virus	chimpanzee adenovirus	coronavirus hku15	crimean-congo hemorrhagic fever orthonairovirus	dabie bandavirus	deltaarterivirus hemfev	dengue virus	dobrava-belgrade orthohantavirus	dolphin pegivirus	eastern equine encephalitis virus	enterovirus a (non SCARB2-users: a2-6, a8, a10, a12)	enterovirus a (SCARB2-users: a7, A14, A16, A71)	enterovirus b (CAR users: b1-6, swine vesicular disease virus)	enterovirus b (CD55 users: e3, e5-7, e11-13, e18-21, e24, e25, e29-e33)	enterovirus b (integrin users: a9, e1, e8, e9)	enterovirus c (no-poliovirus)	enterovirus c (poliovirus)	enterovirus d	equid alphaherpesvirus 1	equid alphaherpesvirus 4	equine infectious anemia virus	equine rhinitis a virus	equine torovirus	european brown hare syndrome virus	feline calicivirus	feline immunodeficiency virus	feline leukemia virus	feline morbillivirus	feline parvovirus	foot-and-mouth disease virus	gallid alphaherpesvirus 2	getah virus	ghanaian bat henipavirus	gibbon ape leukemia virus	guanarito mammarenavirus	hantaan orthohantavirus	hendra henipavirus	hepacivirus c	hepatitis b virus	hepatovirus a	hom-1 vesivirus	human alphaherpesvirus 1	human alphaherpesvirus 2	human alphaherpesvirus 3	human betaherpesvirus 5	human betaherpesvirus 6a	human betaherpesvirus 6b	human betaherpesvirus 7	human coronavirus 229e	human coronavirus hku1	human coronavirus nl63	human gammaherpesvirus 4	human gammaherpesvirus 8	human immunodeficiency virus 1	human immunodeficiency virus 2	human mastadenovirus a	human mastadenovirus b	human mastadenovirus c	human mastadenovirus d	human mastadenovirus e	human mastadenovirus f	human mastadenovirus g	human metapneumovirus	human orthopneumovirus	human orthorubulavirus 2	human papillomavirus	human polyomavirus 12	human respirovirus 1	human respirovirus 3	influenza a virus	influenza b virus	influenza c virus	influenza d virus	jaagsiekte sheep retrovirus	japanese encephalitis virus	koala retrovirus	la crosse orthobunyavirus	lassa mammarenavirus	latino mammarenavirus	lloviu cuevavirus	lujo mammarenavirus	lymphocytic choriomeningitis mammarenavirus	lyssavirus helsinki	macacine alphaherpesvirus 1	machupo mammarenavirus	mammalian orthoreovirus	marburg marburgvirus	mason-pfizer monkey virus	mayaro virus	measles morbillivirus	middle east respiratory syndrome-related coronavirus	mobala mammarenavirus	mokola lyssavirus	moloney murine sarcoma virus	mopeia mammarenavirus	mouse mammary tumor virus	mumps orthorubulavirus	murid betaherpesvirus 1	murid gammaherpesvirus 4	murine coronavirus	murine leukemia virus (SLC-users: amphotropic, ecotropic, moloney)	murine leukemia virus (XPR1 users: polytropic, xenotropic)	murine respirovirus	murine rotavirus	murray valley encephalitis virus	myxoma virus	new york hantavirus	nipah henipavirus	norwalk virus (murine norovirus)	norwalk virus (norwalk virus)	oliveros mammarenavirus	onyong-nyong virus	orf virus	oropouche orthobunyavirus	ovine enzootic nasal tumor virus	pangolin coronavirus	parechovirus 1	parechovirus a	pestivirus a	pestivirus b	pestivirus c	pestivirus h	phocine morbillivirus	porcine circovirus 2	porcine circovirus-like virus p1	porcine epidemic diarrhea virus	porcine mastadenovirus b	porcine reproductive and respiratory syndrome virus	porcine torovirus	primate erythroparvovirus 1	primate t-lymphotropic virus 1	primate t-lymphotropic virus 3	prospect hill orthohantavirus	puma lentivirus	punta toro phlebovirus	puumala orthohantavirus	rabbit hemorrhagic disease virus	rabbit vesivirus	rabies lyssavirus	rd114 retrovirus	recovirus a	reston ebolavirus	rhesus macaque recovirus	rhinovirus a	rhinovirus b	rhinovirus c	rift valley fever phlebovirus	rinderpest morbillivirus	rodent hepacivirus	rodent protoparvovirus 1	ross river virus	rotavirus a (human rotavirus wa)	rotavirus a (porcine rotavirus ym)	rousettus bat coronavirus hku9	rubivirus rubellae	saimiriine alphaherpesvirus 1	saimiriine gammaherpesvirus 2	sangassou orthohantavirus	sapelovirus a	sapporo virus	sars-like coronavirus wiv16	semliki forest virus	senecavirus a	seoul orthohantavirus	serra do navio mammarenavirus	severe acute respiratory syndrome-related coronavirus	simian immunodeficiency virus	simian retrovirus 5	sin nombre orthohantavirus	sindbis virus	small ruminant morbillivirus	sudan ebolavirus	suid alphaherpesvirus 1	swine acute diarrhea syndrome coronavirus	tacaribe mammarenavirus	tai forest ebolavirus	tamiami mammarenavirus	tembusu virus	tick-borne encephalitis virus	toscana phlebovirus	tula orthohantavirus	tylonycteris bat coronavirus hku4	ungulate bocaparvovirus 1	usutu virus	uukuniemi uukuvirus	vaccinia virus	venezuelan equine encephalitis virus	vesicular stomatitis virus	visna-maedi virus	west nile virus	western equine encephalitis virus	whitewater arroyo mammarenavirus	woolly monkey hepatitis b virus	yellow fever virus	zaire ebolavirus	zika virus
HRAS																																																																																							1																																																																																																																																																														
HSP90AA1																																																								1					1																																																																																																																																																																																								
HSPA4													1																																					1						1																																																																				1																																																																																																							1												1						
HSPA5																										1																														1																																																																				1																1																																																															1																								1																		
HSPA8																																																																																																																																																									1																								1																								1																																												
HSPA9																																																																																																																																																																																																																																			1																		
HTR2A																								1																																																																																																																																																																																																																													
HYAL2																																																																																																																											1																																									1																																																																																	
ICAM1																																																																	1																																																1																																																																																1	1	0																																												1						
ICAM5																																																																			1																																																																																																																																																																																		
IDE																																																																																													1																																																																																																																																																								
IGF1R																																																																																																																	1																																																																																																																																				
JMJD6																																																																															1																																																																																																																																																																						
KIAA0319L	1																																																																																																																																																																																																																																																				
KREMEN1																																																												1																																																																																																																																																																																									
Laminin_complex			1	0	1																																																																																																																																																																																																																																						1										
LAMP1																																																																																																																																			1																																																																																																																		
LDLR																																																																																							1																																																							1																																																			1	1	0																																										1								
LDLRAD3																																																																																																																																																																																																																																												1									
LGALS3																																																																																																																																																																																																																																												1									
LMAN1																																																																																																																												1																																																																																																																									
LRP1																																																																																																																																																																			1																																	1																																																	
LRP8																																																											1																																																																																																																																																								1								1																										
LY9																																																																																							1																																																																																																																																																														
M6PR																																																																																																							1																																																																																																																																														
MAG																																																																																											1		1																																																																																																																																																								
MARCO																																																																																																																																																																																																																																											1										
MBL2																																																																																						1																																																		1																					1																																																																																		1					1	
MERTK																																																																																																																																								1																																																							1																																																					1	
MET	1																																																																																																																																																																																																																																																				
MMP9																																																																																																																																																																																																																																												1			1						
MOG																																																																																																																																																																																																												1																																									
MRC1																																																								1																																1																															1																																																																																																																							1							
MSR1																																																																																																																																																																																																																																													1								
MXRA8																																																		1																															1																																																									1																							1																																							1											1																																		
MYH10																																																																																											1																																																																																																																																																										
MYH9																																																						1																																					1																																																																																						1																																						1																														
NCAM1																																																																																																																																																																																												1																																																									
NCL																																																													1																																																				1																																																																																																																																				
NECTIN1																											1																				1																					0																							1	1	1																																								1																																																																								1																	1																							
NECTIN2																											1																																									0																							1	1				1																																																																																																																														1																							
NECTIN4																																							1									1																																																																																											1																																	1																									1																							1																									
NGFR																																																																																																																																				1																																																								1																																																									
NPC1																																				1																																																			1																																										1	1																																																																																					1						1																							1	
NRP1																																																																																																					1																																																																															1																																			1																														
NRP2																																																																																														1																																				1																																																																																																																			
OCLN																																																																																							1																																																																																								1																										1	1																																											
OR14I1																																																																																														1																																																																																																																																																							
P4HB																																																																																																																																																									1																																																																																												
PCDH1										1																																																																																																																																																																																																																1																											
PDGFRA																																													1																																																	1																																																																																																																																																							
PDGFRB	1																																																																																																																																																																																																																																																				
PHB1																																																		1											1																																																																																																																																																																																								
PILRA																																																																																											1																																										0																																																																								0																																								
PLSCR1																																																																																							1																																																																																																																																																														
PLVAP																																																																																																																												1																																																																																																																									
PPIB																																																																																																																			1																																																																																																												1																						
PTK2																																																																																																						1																																																																																																																																															
PVR																											1																																							1																																																																																																																																											1																	1																							
RABAC1																													1																																																																																																																																																																																																																								
RAC1																																																																																																							1																																																																																																																																														
RPSA	1																																																							1																																																																																																																		1																																																	1			0						1								1			1						
RTN4R																																																																																																																																							1																																																																																																														
SCARB1																																																																																							1																																																																																																															1																	1																														1
SCARB2																																																												0	1						0																																																																																																																																																																																		
SDC1																																																																																							1				1												1												1																																																																	1																																			1																														
SDC2																																																																																							1				1												1																																																																																																																																														
SDC3																																																																																																							1																																																																																																																																														
SDC4																																																																																							1																																																																																										1																																						1																														
SELPLG																																																													1																																																																																																																																																																																								
SERPINB3																																																																																								1																																																																																																																																																													
SFTPA1																																																																																																																	1																																																																																																																																				
SIGLEC1																																																																																																																																																																																	1																																																																			1	
SIGLEC10																																																																																																																																																																																	1																																																																				
SIGLEC7																																																																																													1																																																																																																																																																								
SLAMF1																																							1									1										1																			1																																																														1																																	1																									1																							1																									
SLC10A1																																								1																																																1																																																																																																																																																										1			
SLC11A2																																																																																																																																																																																																																											1																										
SLC19A1																																																																												1																																																																																																																																																																									
SLC19A2																																																																												1																																																	1																																																																																																																								
SLC1A5																																																																																																																																									1																																																				1											1																	1																												
SLC20A1																																																																												1							1																																										1																									1																																																																																															
SLC20A2																																																																												1							1																																																																			1																																																																																															
SLC2A1																																																																																																																																																																																				1	1																																																																
SLC3A2																																																																																																																																																																																																																																											1										
SLC7A1																														1																																																																																																																	1							1																																																																																															
SLC7A11																																																																																																						1																																																																																																																																															
SLC9A1														1																																																																																																																																																																																																																																							
SLC9A3											1																																																																																																																				1				1																																																																																																																		
SRFBP1																																																																																							1																																																																																																																																																														
TFRC											1																								1									1					1																	1												1						1			1																																								0			0	0			1											1																														1																																							1										1		1															1				
THY1																																																																																														1																																																																																																																																																							
TIMD4																																																		1						1																																															1																																																																																																																																								1				1		
TLR3																																																																																																																																																																																																																																															1						1
TLR4																																																																																																																																																																																																																							1																														
TMPRSS2																																																																																																																																												1																																																																											1																														
TMPRSS4																																																																																																																																																																																																																							1																														
TNFRSF14																																																																				0		1																					1	1																																									0																																																																									0																1																							
TNFRSF4																																																																											1																					1																																																																																							1																																																														
TSPAN9																																																		1																																																																																																																																																																									1																										
TYRO3																																																								1																																																																							1				1																																																												1																																																					1	1
VCAM1																																									1																																																																																																																																																																																																												
VCP																																																																																																																																																																																																																																															1						
VGCC_complex											1																																																																																																																																																																																																																																										
VIM																																																								1					1																											1																																				1																																																					1																																														1																						
VLDLR																																																											1																												1																																																																																																										1																		1								1																										
WARS1																																																													1						1																																																																																																																																																																																		
XPR1																																																																																																																																																							1																																																																																														
XRCC5																																																																																																																																																																																			1																																																																		
ITGA1																																																																																																																																																																																																								1																																													
ITGA2																																																																1																																																																																																																																									1																																												
ITGA3																																																																																																						1																																																																																																																																															
ITGA4						1																																																														1	1																																		1																																																																																																																																														
ITGA5															1																																																																																																	1																																																							1												1																																																																		
